scenario,decay_trigger,recovery_trigger,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,score_decay_days,score_decay_triggers,score_decay_recoveries,avg_scale,avg_final_exposure
decay_0.60_recover_1.00,0.6,1.0,from_2020,2020-01-02,2026-05-08,1535,1.3922193372960687,0.14732939577309767,-0.2569786504153113,0.2241093067964737,0.7712778834054554,319,387,50,292,58,58,1.1709024477094399,0.7560576879926265
decay_0.60_recover_1.00,0.6,1.0,6Y,2020-05-08,2026-05-08,1454,1.4403776950515996,0.16035508868602832,-0.2569786504153114,0.2165017792534965,0.8221169888916745,301,368,47,280,55,55,1.1793457618317362,0.7627376422795559
decay_0.60_recover_1.00,0.6,1.0,3Y,2023-05-08,2026-05-08,727,0.7062606038371271,0.19489793643233666,-0.18962356185521478,0.20663857748896988,0.9965700926255,142,201,31,156,27,28,1.07447169644284,0.6549194556816458
decay_0.60_recover_1.00,0.6,1.0,1Y,2025-05-08,2026-05-08,243,-0.006979034965020947,-0.00698379839513541,-0.006979034965020947,0.0026552108758064346,-2.733967130597302,41,64,16,53,8,8,1.0308641975308641,0.6224279835390947
decay_0.70_recover_0.80,0.7,0.8,from_2020,2020-01-02,2026-05-08,1535,1.2779664534003516,0.13851604247602878,-0.2728649297148479,0.22269029328766915,0.7176162440235373,330,444,49,349,66,67,1.1823386845709276,0.7232091069746543
decay_0.70_recover_0.80,0.7,0.8,6Y,2020-05-08,2026-05-08,1454,1.2539165868783586,0.14508149683712968,-0.272864929714848,0.2148956833527904,0.7624190742427956,312,426,46,338,64,64,1.191677556032575,0.7267584973834653
decay_0.70_recover_0.80,0.7,0.8,3Y,2023-05-08,2026-05-08,727,0.4749777316035355,0.13827969219504466,-0.18911076191040677,0.2059077793482465,0.7539103745656237,149,234,30,189,32,33,1.0863976300062725,0.6195642697320548
decay_0.70_recover_0.80,0.7,0.8,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,44,70,15,59,10,10,1.0308641975308641,0.5997942386831275
decay_0.70_recover_0.90,0.7,0.9,from_2020,2020-01-02,2026-05-08,1535,1.054020119200061,0.12010178937979821,-0.2728649297148473,0.22237029807844,0.6419379322134288,330,453,49,358,66,67,1.1830484692171601,0.7157389730052249
decay_0.70_recover_0.90,0.7,0.9,6Y,2020-05-08,2026-05-08,1454,1.1177258931482301,0.1332455404720514,-0.2728649297148473,0.21456965710511913,0.7128858494453958,312,434,46,346,64,64,1.19183823964879,0.7195383679715639
decay_0.70_recover_0.90,0.7,0.9,3Y,2023-05-08,2026-05-08,727,0.4637778413595659,0.1353919422497869,-0.18911288411926597,0.20593252709842938,0.7410015190281296,149,238,30,193,32,33,1.0864996632038368,0.6128023198167258
decay_0.70_recover_0.90,0.7,0.9,1Y,2025-05-08,2026-05-08,243,-0.006979034965020947,-0.00698379839513541,-0.006979034965020947,0.0026552108758064346,-2.733967130597302,44,72,15,61,10,10,1.0308641975308641,0.5915637860082305
decay_0.70_recover_1.00,0.7,1.0,from_2020,2020-01-02,2026-05-08,1535,1.1432793012887736,0.1276348075693967,-0.2728649297148481,0.22222249749653217,0.6736470025392268,330,461,49,366,66,67,1.183817665442743,0.7088985636333921
decay_0.70_recover_1.00,0.7,1.0,6Y,2020-05-08,2026-05-08,1454,1.1956127827839875,0.14008950883410543,-0.2728649297148481,0.21440749469765874,0.7424603355105197,312,441,46,353,64,64,1.1926347206679055,0.713339180728055
decay_0.70_recover_1.00,0.7,1.0,3Y,2023-05-08,2026-05-08,727,0.49289141149052806,0.14286826762144278,-0.18916137181526582,0.205946383106719,0.7741046064249283,149,241,30,196,32,33,1.0870484247329812,0.6076213181748126
decay_0.70_recover_1.00,0.7,1.0,1Y,2025-05-08,2026-05-08,243,-0.006979034965020836,-0.006983798395135299,-0.006979034965020836,0.0026552108758064346,-2.733967130597302,44,73,15,62,10,10,1.0308641975308641,0.5874485596707819
decay_0.80_recover_0.90,0.8,0.9,from_2020,2020-01-02,2026-05-08,1535,0.93411471913209,0.10953586130357396,-0.2510687782498122,0.21666822484279924,0.6074972891951835,338,534,47,439,77,78,1.1956982600862518,0.6596502484885934
decay_0.80_recover_0.90,0.8,0.9,6Y,2020-05-08,2026-05-08,1454,0.9528629206227222,0.11803744422991458,-0.2510687782498122,0.208688502934222,0.6597256215148369,319,512,44,424,73,73,1.204032794714199,0.6615165666557631
decay_0.80_recover_0.90,0.8,0.9,3Y,2023-05-08,2026-05-08,727,0.4736559589372449,0.13793965239711925,-0.16557955541512392,0.20436411672691215,0.7563772996091949,153,280,28,235,37,38,1.092283018595771,0.5559656870884307
decay_0.80_recover_0.90,0.8,0.9,1Y,2025-05-08,2026-05-08,243,-0.0059850199850060015,-0.005989107013531614,-0.0059850199850060015,0.002463450244194949,-2.525816073161908,46,82,13,71,12,12,1.0308641975308641,0.5545267489711934
decay_0.80_recover_1.00,0.8,1.0,from_2020,2020-01-02,2026-05-08,1535,1.0169499290726987,0.11689197307654764,-0.251068778249812,0.21643837763937104,0.639725835356194,338,542,47,447,77,78,1.1962165711299102,0.652441797273407
decay_0.80_recover_1.00,0.8,1.0,6Y,2020-05-08,2026-05-08,1454,1.0234667907613457,0.12467659063495495,-0.251068778249812,0.20843437548117266,0.6898080963221405,319,519,44,431,73,73,1.204561644473716,0.6549281476416497
decay_0.80_recover_1.00,0.8,1.0,3Y,2023-05-08,2026-05-08,727,0.5030057131020602,0.14544284061987733,-0.1532481304815312,0.20429225023962685,0.7900247337980837,153,283,28,238,37,38,1.092759758213163,0.5506274439752163
decay_0.80_recover_1.00,0.8,1.0,1Y,2025-05-08,2026-05-08,243,-0.0059850199850060015,-0.005989107013531614,-0.0059850199850060015,0.002463450244194949,-2.525816073161908,46,83,13,72,12,12,1.0308641975308641,0.5504115226337448
